Position,Season,Club,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,2020/21,Lille,38,24,11,3,64,23,41,83
2,2020/21,Paris Saint-Germain,38,26,4,8,86,28,58,82
3,2020/21,Monaco,38,24,6,8,76,42,34,78
4,2020/21,Lyon,38,22,10,6,81,43,38,76
5,2020/21,Marseille,38,16,12,10,54,47,7,60
6,2020/21,Rennes,38,16,10,12,52,40,12,58
7,2020/21,RC Lens,38,15,12,11,55,54,1,57
8,2020/21,Montpellier,38,14,12,12,60,62,-2,54
9,2020/21,Nice,38,15,7,16,50,53,-3,52
10,2020/21,Metz,38,12,11,15,44,48,-4,47
11,2020/21,St Etienne,38,12,10,16,42,54,-12,46
12,2020/21,Bordeaux,38,13,6,19,42,56,-14,45
13,2020/21,Angers,38,12,8,18,40,58,-18,44
14,2020/21,Reims,38,9,15,14,42,50,-8,42
15,2020/21,Strasbourg,38,11,9,18,49,58,-9,42
16,2020/21,Lorient,38,11,9,18,50,68,-18,42
17,2020/21,Brest,38,11,8,19,50,66,-16,41
18,2020/21,Nantes,38,9,13,16,47,55,-8,40
19,2020/21,Nimes,38,9,8,21,40,71,-31,35
20,2020/21,Dijon,38,4,9,25,25,73,-48,21
